date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:36	33344/33344	---M-Z	200	added ('OK')	application/octet-stream	etag:%2269834cd3-8240%22	http://cdn2.editmysite.com/fonts/Open_Sans/italic.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/italic.ttf	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:36	19106/19106	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269777aa7-4aa2%22	http://cdn2.editmysite.com/fonts/Open_Sans/bolditalic.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/bolditalic.eot	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:39	19106/19106	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269777aa7-4aa2%22	http://cdn2.editmysite.com/fonts/Open_Sans/bolditalic.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/bolditalicd41d.eot	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:39	17384/17384	---M--	200	added ('OK')	font/woff2	etag:%2269834cd3-43e8%22	http://cdn2.editmysite.com/fonts/Open_Sans/bolditalic.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/bolditalic.woff2	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:40	21248/21248	---M--	200	added ('OK')	font/woff	etag:%2269724920-5300%22	http://cdn2.editmysite.com/fonts/Open_Sans/bolditalic.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/bolditalic.woff	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:40	33340/33340	---M-Z	200	added ('OK')	application/octet-stream	etag:%2269724920-823c%22	http://cdn2.editmysite.com/fonts/Open_Sans/bolditalic.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/bolditalic.ttf	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:42	17850/17850	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697bd452-45ba%22	http://cdn2.editmysite.com/fonts/Open_Sans/bold.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/boldd41d.eot	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:43	24456/24456	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697bd451-5f88%22	http://cdn2.editmysite.com/fonts/Lato/light.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/light.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:11:43	19623/19623	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697b7a96-4ca7%22	http://cdn2.editmysite.com/fonts/Open_Sans/lightitalic.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Open_Sans/lightitalicd41d.eot	(from http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2)
13:11:44	23236/23236	---M--	200	added ('OK')	font/woff2	etag:%2269777aa7-5ac4%22	http://cdn2.editmysite.com/fonts/Lato/light.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/light.woff2	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
